paper_id	title	journ	pub_year	au_name
000512720700001	WHEN BRANDS USE CEOS AND EMPLOYEES AS SPOKESPERSONS A FRAMEWORK FOR UNDERSTANDING INTERNAL ENDORSEMENT	QUALITATIVE MARKET RESEARCH	2020	ZEITOUN, V; MICHEL, G; FLECK, N
000506131300001	A SYSTEMATIC REVIEW ON EMPATHY MEASUREMENT TOOLS FOR CARE PROFESSIONALS	EDUCATIONAL GERONTOLOGY	2020	HONG, H; HAN, A
000592251300001	THE LONG-TERM EFFECTIVENESS OF EMPATHIC INTERVENTIONS IN MEDICAL EDUCATION: A SYSTEMATIC REVIEW	ADVANCES IN MEDICAL EDUCATION AND PRACTICE	2020	BAUGH, RF; HOOGLAND, MA; BAUGH, AD
000580448800003	FOLLOWING IN JAKOBSON AND LEVI-STRAUSS' FOOTSTEPS: A NEUROCOGNITIVE POETICS INVESTIGATION OF EYE MOVEMENTS DURING THE READING OF BAUDELAIRE'S 'LES CHATS'	JOURNAL OF EYE MOVEMENT RESEARCH	2020	FECHINO, M; JACOBS, AM; LUDTKE, J
000576064300001	DO PICTURES REALLY SAY MORE THAN A THOUSAND WORDS? A NETWORK APPROACH TO EARLY TRAUMATIC EXPERIENCE AND EMPATHIC RESPONDING	EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY	2020	MUELLER, SC; HUDSON, AR; MEEUS, C
000574070500001	NURSES' EMPATHETIC BEHAVIORS: THE DIRECT AND INDIRECT EFFECT OF THEIR SPIRITUAL ORIENTATION	JOURNAL OF RELIGION & HEALTH		BOUZANJANI, AA; BAHADORI, P; NIKOONAM, P
000562965000001	DEFAULT MODE NETWORK MODULATION BY MENTALIZING IN YOUNG ADULTS WITH AUTISM SPECTRUM DISORDER OR SCHIZOPHRENIA	NEUROIMAGE-CLINICAL	2020	HYATT, CJ; CALHOUN, VD; PITTMAN, B; CORBERA, S; BELL, MD; RABANY, L; PELPHREY, K; PEARLSON, GD; ASSAF, M
000560211200009	PUNISHING OR HELPING: THE INFLUENCE OF ACUTE STRESS ON THIRD-PARTY DECISION-MAKING	CHINESE SCIENCE BULLETIN-CHINESE	2020	WANG, HG; ZHEN, Z; LIU, C; QIN, SZ
000560169000001	PROJECT-BASED LEARNING APPROACH TO INCREASE MEDICAL STUDENT EMPATHY	MEDICAL EDUCATION ONLINE	2020	KIM, KJ
000558057600081	ASSESSMENT EVALUATION OF COGNITIVE FACTOR AND WORK STRESS FACTORS ON DISASTER SOCIAL WORKER'S PRODUCTIVITY IN INDONESIA	RECENT PROGRESS ON: MECHANICAL, INFRASTRUCTURE AND INDUSTRIAL ENGINEERING	2020	MOCH, BN; ERVITA, M; SYAIFULLAH, DH
000550968100001	HARM INFLATION: MAKING SENSE OF CONCEPT CREEP	EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY	2020	HASLAM, N; DAKIN, BC; FABIANO, F; MCGRATH, MJ; RHEE, J; VYLOMOVA, E; WEAVING, M; WHEELER, MA
000550070700001	PARENTAL SENSE OF COMPETENCE, RESILIENCE, AND EMPATHY IN RELATION FATHERS' RESPONSES TO CHILDREN'S NEGATIVE EMOTIONS IN THE CONTEXT OF EVERYDAY PATERNAL CHILDREARING DECISIONS	COGENT PSYCHOLOGY	2020	ZIV, I; GOLBEZ, N; SHAPIRA, N
000545015700018	EMPATHY IMPAIRMENTS AND ITS RELATION TO BEHAVIOR IN PATIENTS WITH TRAUMATIC BRAIN INJURY: A SYSTEMATIC REVIEW	CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY	2020	CAAMANO, P; LEIVA, S; FERRERES, A
000540715100004	WHY PEOPLE WITH HIGH ALEXITHYMIA MAKE MORE UTILITARIAN JUDGMENTS THE ROLE OF EMPATHIC CONCERN AND DEONTOLOGICAL INCLINATIONS	EXPERIMENTAL PSYCHOLOGY	2020	ZHANG, XY; WU, ZH; LI, SL; LAI, J; HAN, M; CHEN, XY; LIU, C; DING, DQ
000538801000001	DO ALL TYPES OF COMPASSION INCREASE PROSOCIAL LYING?	PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT	2020	FANG, X; CHEN, LX; WANG, J; ZHANG, Q; MO, L
000537434300004	THE ROLE OF TRAIT EMPATHY IN THE PROCESSING OF OBSERVED ACTIONS IN A FALSE-BELIEF TASK	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE	2020	BELLEBAUM, C; GHIO, M; WOLLMER, M; WEISMULLER, B; THOMA, P
000536630000002	STUDENT REFLECTIONS WITH A DYADIC OBJECTIVE STRUCTURED CLINICAL EXAMINATION (OSCE) ADAPTED FOR SOCIAL WORK	JOURNAL OF TEACHING IN SOCIAL WORK	2020	TYLER, TR; FRANKLIN, AE
000528220400006	ONE SIZE DOES NOT FIT ALL: GENDER IMPLICATIONS FOR THE DESIGN OF OUTCOMES, EVALUATION AND ASSESSMENT OF SCIENCE COMMUNICATION PROGRAMS	JCOM-JOURNAL OF SCIENCE COMMUNICATION	2020	O'CONNELL, C; MCKINNON, M; LABOUFF, J
000521955600159	TOWARDS A SUSTAINABLE MODEL OF INNOVATIVE WORK BEHAVIORS' ENHANCEMENT: THE MEDIATING ROLE OF EMPLOYABILITY	SUSTAINABILITY	2020	STOFFERS, J; VAN DER HEIJDEN, B; SCHRIJVER, I
000519979900010	DIFFERENTIAL ASSOCIATIONS BETWEEN INTERPERSONAL VARIABLES AND QUALITY-OF-LIFE IN A SAMPLE OF COLLEGE STUDENTS	QUALITY OF LIFE RESEARCH	2020	KUCZYNSKI, AM; KANTER, JW; ROBINAUGH, DJ
000519207200001	THE CHARACTERISTICS OF MORAL JUDGMENT OF PSYCHOPATHS: THE MEDIATING EFFECT OF THE DEONTOLOGICAL TENDENCY	PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT	2020	LI, SL; DING, DQ; LAI, J; ZHANG, XY; WU, ZH; LIU, C
000518143400007	"HOW CARING IS ""NULLIFIED"": STRONG RACIAL IDENTITY ELIMINATES WHITE PARTICIPANT EMPATHY EFFECTS WHEN POLICE SHOOT AN UNARMED BLACK MALE"	PSYCHOLOGY OF VIOLENCE	2020	JOHNSON, J; LECCI, L
000514819700044	BURNOUT AMONG NURSING STUDENTS: PREDICTORS AND ASSOCIATION WITH EMPATHY AND SELF-EFFICACY	REVISTA BRASILEIRA DE ENFERMAGEM	2020	LOPES, AR; NIHEI, OK
000513794400001	THE EFFECTIVENESS OF A TOM TRAINING PROGRAM IN PROMOTING EMPATHY BETWEEN MARRIED COUPLES	JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS	2020	RAMEZANI, A; GHAMARI, M; JAFARI, A; AGHDAM, GF
000513291500010	THROUGH THE LENS OF HISTORY: THE EFFECTS OF BELIEFS ABOUT HISTORICAL VICTIMIZATION ON RESPONSES TO REFUGEES	INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS	2020	SZABO, ZP; VOLLHARDT, JR; MESZAROS, NZ
000512533900001	DOES THE INTERPLAY OF CALLOUS-UNEMOTIONAL TRAITS AND MORAL DISENGAGEMENT UNDERPIN DISRUPTIVE BEHAVIOR? A SYSTEMATIC REVIEW	ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS	2020	PACIELLO, M; BALLAROTTO, G; CERNIGLIA, L; MURATORI, P
000511600500003	INCORPORATING ETHICS INTO BRIEF MINDFULNESS PRACTICE: EFFECTS ON WELL-BEING AND PROSOCIAL BEHAVIOR	MINDFULNESS	2020	CHEN, SY; JORDAN, CH
000510827000007	A BLESSING AND A CURSE: HOW CEOS' TRAIT EMPATHY AFFECTS THEIR MANAGEMENT OF ORGANIZATIONAL CRISES	ACADEMY OF MANAGEMENT REVIEW	2020	KONIG, A; GRAF-VLACHY, L; BUNDY, J; LITTLE, LM
000509438000005	EXPERIMENTAL EMPATHY INDUCTION PROMOTES OXYTOCIN INCREASES AND TESTOSTERONE DECREASES	HORMONES AND BEHAVIOR	2020	PROCYSHYN, TL; WATSON, NV; CRESPI, BJ
000507468100020	INTEGRATING EMPATHY AND INTERPERSONAL EMOTION REGULATION	ANNUAL REVIEW OF PSYCHOLOGY, VOL 71	2020	ZAKI, J
000507062900005	PAROCHIAL VERSUS UNIVERSAL COOPERATION: INTRODUCING A NOVEL ECONOMIC GAME OF WITHIN- AND BETWEEN-GROUP INTERACTION	SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE	2020	AALDERING, H; BOHM, R
000505535400027	IMPAIRMENT OF SOCIOCOGNITIVE FUNCTIONS IN PATIENTS WITH BRAIN TUMOURS	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	2020	PERTZ, M; OKONIEWSKI, A; SCHLEGEL, U; THOMA, P
000506016700009	BURNOUT IN PEDIATRIC RESIDENTS: THREE YEARS OF NATIONAL SURVEY DATA	PEDIATRICS	2020	KEMPER, KJ; SCHWARTZ, A; WILSON, PM; MAHAN, JD; SCHUBERT, CJ; STAPLES, BB; MCCLAFFERTY, H; SERWINT, JR; BATRA, M
000502994700002	PERSONALITY AND PROSOCIAL BEHAVIOR: A THEORETICAL FRAMEWORK AND META-ANALYSIS	PSYCHOLOGICAL BULLETIN	2020	THIELMANN, I; SPADARO, G; BALLIET, D
000503082500005	THE INFLUENCE OF POWER ON US AND CHINESE INDIVIDUALS' JUDGMENTS AND REASONING ABOUT INTRASOCIETAL CONFLICTS	JOURNAL OF CROSS-CULTURAL PSYCHOLOGY	2020	ZHU, N; HAWK, ST; SMETANA, JG
000498859500030	EMPATHY FRAMEWORK FOR EMBODIED CONVERSATIONAL AGENTS	COGNITIVE SYSTEMS RESEARCH	2020	YALCIN, ON
000504703100001	VOLITIONAL CHANGE IN ADULT ATTACHMENT: CAN PEOPLE WHO WANT TO BECOME LESS ANXIOUS AND AVOIDANT MOVE CLOSER TOWARDS REALIZING THOSE GOALS?	EUROPEAN JOURNAL OF PERSONALITY	2020	HUDSON, NW; CHOPIK, WJ; BRILEY, DA
000504160200006	RELATIONSHIPS BETWEEN PERSPECTIVE-TAKING, EMPATHIC CONCERN, AND SELF-RATING OF EMPATHY AS A PHYSICIAN AMONG MEDICAL STUDENTS	ACADEMIC PSYCHIATRY	2020	YU, J; LEE, S; KIM, M; LIM, K; CHANG, K; LEE, M
000503680800001	EMPATHY AS A PREDICTOR OF PROSOCIAL BEHAVIOR AND THE PERCEIVED SERIOUSNESS OF DELINQUENT ACTS: A CROSS-CULTURAL COMPARISON OF ARGENTINA AND SPAIN	ETHICS & BEHAVIOR		RODRIGUEZ, LM; MARTI-VILAR, M; REIG, JE; MESURADO, B
000534249400068	"THE ASSOCIATION BETWEEN CHILDHOOD MALTREATMENT AND EMPATHIC PERSPECTIVE TAKING IS MODERATED BY THE 5-HTT LINKED POLYMORPHIC REGION: ANOTHER EXAMPLE OF ""DIFFERENTIAL SUSCEPTIBILITY"""	PLOS ONE	2019	FLASBECK, V; MOSER, D; PAKUSCH, J; KUMSTA, R; BRUNE, M
000503108100001	MODELING THERAPIST RESPONSES WITH STRUCTURED PRACTICE ENHANCES FACILITATIVE INTERPERSONAL SKILLS	JOURNAL OF CLINICAL PSYCHOLOGY	2020	ANDERSON, T; PERLMAN, MR; MCCARRICK, SM; MCCLINTOCK, AS
000503087700001	SELF-CONCEPT AS A MECHANISM THROUGH WHICH PARENTAL PSYCHOLOGICAL CONTROL IMPAIRS EMPATHY DEVELOPMENT FROM ADOLESCENCE TO EMERGING ADULTHOOD	SOCIAL DEVELOPMENT	2020	CHOE, SY; LEE, JO; READ, SJ
000503195800001	PARENTAL EFFICACY MODERATES THE ASSOCIATION BETWEEN EMPATHY AND BURDEN AMONG PARENTS OF CHILDREN ADMITTED TO A PSYCHIATRIC WARDPALABRAS CLAVE(SIC)(SIC)(SIC)	FAMILY PROCESS	2020	BEN-PAZI, A; GOLDZWEIG, G; PIJNENBORG, GHM; ROE, D; HASSON-OHAYON, I
000503292300001	UNDERSTANDING NONBELIEVERS' PREJUDICE TOWARD IDEOLOGICAL OPPONENTS: THE ROLE OF SELF-EXPRESSION VALUES AND OTHER-ORIENTED DISPOSITIONS	INTERNATIONAL JOURNAL FOR THE PSYCHOLOGY OF RELIGION	2020	UZAREVIC, F; SAROGLOU, V
000502482500001	DEMENTIA CARE BOOT CAMP: INTERPROFESSIONAL EDUCATION FOR HEALTHCARE STUDENTS	JOURNAL OF INTERPROFESSIONAL CARE	2020	MASTEL-SMITH, B; KIMZEY, M; GARNER, J; SHOAIR, OA; STOCKS, E; WALLACE, T
000502413300001	ASSESSING SOCIAL COGNITION IN PEOPLE WITH A DIAGNOSIS OF DEMENTIA: DEVELOPMENT OF A NOVEL SCREENING TEST, THE BRIEF ASSESSMENT OF SOCIAL SKILLS (BASS-D)	JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	2020	KELLY, M; MCDONALD, S
000534232900021	THE EFFECT OF EMOTIONAL INFORMATION FROM EYES ON EMPATHY FOR PAIN: A SUBLIMINAL ERP STUDY	PLOS ONE	2019	SONG, J; WEI, YQ; KE, H
000502492000001	MEASURING THE PSYCHOLOGICAL IMPACTS OF PRISON-BASED DOG TRAINING PROGRAMS AND IN-PRISON OUTCOMES FOR INMATES	PRISON JOURNAL	2020	FLYNN, E; COMBS, KM; GANDENBERGER, J; TEDESCHI, P; MORRIS, KN
000534068500021	DIFFERENCES BETWEEN INDIVIDUALS WITH SCHIZOPHRENIA OR OBSESSIVE-COMPULSIVE DISORDER AND HEALTHY CONTROLS IN SOCIAL COGNITION AND MINDFULNESS SKILLS: A CONTROLLED STUDY	PLOS ONE	2019	LOPEZ-DEL-HOYO, Y; PANZANO, MG; LAHERA, G; HERRERA-MERCADAL, P; NAVARRO-GIL, M; CAMPOS, D; BORAO, L; MORILLO, H; GARCIA-CAMPAYO, J
000501558900011	MODELLING P2P AIRBNB ONLINE HOST ADVERTISING EFFECTIVENESS: THE ROLE OF EMOTIONAL APPEAL INFORMATION COMPLETENESS CREATIVITY AND SOCIAL RESPONSIBILITY	INTERNATIONAL JOURNAL OF CULTURE TOURISM AND HOSPITALITY RESEARCH	2019	WISKER, ZL; KADIROV, D; BONE, C
000534035700044	PERSONAL DISTRESS AS A MEDIATOR BETWEEN SELF-ESTEEM, SELF-EFFICACY, LONELINESS AND PROBLEMATIC VIDEO GAMING IN FEMALE AND MALE EMERGING ADULT GAMERS	PLOS ONE	2019	CUDO, A; KOPI, N; ZABIELSKA-MENDYK, E
000513946600001	PSYCHOMETRIC PROPERTIES OF THE JEFFERSON SCALE OF EMPATHY: A COSMIN SYSTEMATIC REVIEW PROTOCOL	SYSTEMATIC REVIEWS	2019	WILLIAMS, B; BEOVICH, B
000504234900001	CHANGE IN OBJECTIVE MEASURE OF EMPATHIC ACCURACY FOLLOWING SOCIAL COGNITIVE TRAINING	FRONTIERS IN PSYCHIATRY	2019	HAUT, KM; DODELL-FEDER, D; GUTY, E; NAHUM, M; HOOKER, CI
000506578100016	ENHANCED SELF-REPORTED AFFECT AND PROSOCIAL BEHAVIOUR WITHOUT DIFFERENTIAL PHYSIOLOGICAL RESPONSES IN MIRROR-SENSORY SYNAESTHESIA	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2019	IOUMPA, K; GRAHAM, SA; CLAUSNER, T; FISHER, SE; VAN LIER, R; VAN LEEUWEN, TM
000501301900001	TEACHERS' MULTICULTURAL ATTITUDES AND PERSPECTIVE TAKING ABILITIES AS FACTORS IN CULTURALLY RESPONSIVE TEACHING	BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY	2020	ABACIOGLU, CS; VOLMAN, M; FISCHER, AH
000500138200001	JUSTIFICATION OF AGGRESSION AGAINST NURSES: THE EFFECT OF AGGRESSOR DISTRESS AND NURSE COMMUNICATION QUALITY	JOURNAL OF ADVANCED NURSING	2020	YAGIL, D; DAYAN, H
000503384700001	FEEDING BEHAVIOR OF MICE UNDER DIFFERENT FOOD ALLOCATION REGIMENS	BEHAVIOURAL NEUROLOGY	2019	UENO, H; SUEMITSU, S; MURAKAMI, S; KITAMURA, N; WANI, K; TAKAHASHI, Y; MATSUMOTO, Y; OKAMOTO, M; ISHIHARA, T
000499808100001	WHAT DRIVES THE (UN)EMPATHIC BYSTANDER TO INTERVENE? INSIGHTS FROM EYE TRACKING	BRITISH JOURNAL OF SOCIAL PSYCHOLOGY	2020	HU, Y; FIEDLER, S; WEBER, B
000495349200001	CLICKING FOR CHANGE: THE ROLE OF EMPATHY AND NEGATIVE AFFECT ON ENGAGEMENT WITH A CHARITABLE SOCIAL MEDIA CAMPAIGN*	BEHAVIOUR & INFORMATION TECHNOLOGY	2019	WEISS, JK; COHEN, EL
000509507200006	EMOTIONAL INTELLIGENCE AND SELF-DETERMINED BEHAVIOUR REDUCE PSYCHOLOGICAL DISTRESS: INTERACTIONS WITH RESILIENCE IN SOCIAL WORK STUDENTS IN THE UK	BRITISH JOURNAL OF SOCIAL WORK	2019	BUNCE, L; LONSDALE, AJ; KING, N; CHILDS, J; BENNIE, R
000509097900010	ALCOHOL, EMPATHY, AND MORALITY: ACUTE EFFECTS OF ALCOHOL CONSUMPTION ON AFFECTIVE EMPATHY AND MORAL DECISION-MAKING	PSYCHOPHARMACOLOGY	2019	FRANCIS, KB; GUMMERUM, M; GANIS, G; HOWARD, IS; TERBECK, S
000508186400261	SUSTAINABILITY OF THE BELT AND ROAD INITIATIVE: AN INTEGRATED, CONCEPTUAL FRAMEWORK FOR INSTRUCTIONAL COMMUNICATION IN CHINA'S UNIVERSITIES	SUSTAINABILITY	2019	AKHTAR, N; PRATT, CB; HU, Y
000502379800016	SOCIALLY TRANSMITTED PLACEBO EFFECTS	NATURE HUMAN BEHAVIOUR	2019	CHEN, PHA; CHEONG, JH; JOLLY, E; ELHENCE, H; WAGER, TD; CHANG, LJ
000521705900001	AFFECTIVE STATES INFLUENCE EMOTION PERCEPTION: EVIDENCE FOR EMOTIONAL EGOCENTRICITY	PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG		TRILLA, I; WEIGAND, A; DZIOBEK, I
000510175100001	FROM REGULATION TO PROJECTION: RELIANCE ON REGULATORY MODE IN PREDICTIONS ABOUT OTHERS	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY		WOLTIN, KA; YZERBYT, VY
000552896100001	IDEOLOGICAL DIFFERENCES IN ATTITUDE AND BELIEF SIMILARITY: DISTINGUISHING PERCEPTION AND REALITY	EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY	2020	STERN, C
000459842700014	DISTINCTIVENESS AS A MARKER OF IDENTITY FORMATION	JOURNAL OF RESEARCH IN PERSONALITY	2019	VAN DOESELAAR, L; KLIMSTRA, TA; DENISSEN, JJA; MEEUS, W
000434728100035	DOES SOCIAL DISTANCE MODULATE ADULTS' EGOCENTRIC BIASES WHEN REASONING ABOUT FALSE BELIEFS?	PLOS ONE	2018	FARRAR, BG; OSTOJIC, L
000405160500030	INTERGROUP VISUAL PERSPECTIVE-TAKING: SHARED GROUP MEMBERSHIP IMPAIRS SELF-PERSPECTIVE INHIBITION BUT MAY FACILITATE PERSPECTIVE CALCULATION	COGNITION	2017	SIMPSON, AJ; TODD, AR
000592204100001	HOW WELL DO COUPLES CARE WHEN THEY ARE EXPECTING THEIR FIRST CHILD? FAMILY AND DYADIC PREDICTORS OF PARENTAL SENSITIVITY IN EXPECTANT COUPLES	FRONTIERS IN PSYCHIATRY	2020	KAZMIERCZAK, M; PAWLICKA, P; LADA-MASKO, AB; VAN IJZENDOORN, MH; BAKERMANS-KRANENBURG, MJ
000589897600003	MULTILAYERED SOCIAL DYNAMICS AND DEPRESSION AMONG OLDER ADULTS: A 10-YEAR CROSS-LAGGED ANALYSIS	PSYCHOLOGY AND AGING	2020	REYNOLDS, RM; MENG, JB; HALL, ED
000582354700001	MEASURING GRATITUDE IN GERMANY: VALIDATION STUDY OF THE GERMAN VERSION OF THE GRATITUDE QUESTIONNAIRE-SIX ITEM FORM (GQ-6-G) AND THE MULTI-COMPONENT GRATITUDE MEASURE (MCGM-G)	FRONTIERS IN PSYCHOLOGY	2020	HUDECEK, MFC; BLABST, N; MORGAN, B; LERMER, E
000580666800001	EXPLORING THE PSYCHOLOGICAL PROCESSES THAT UNDERLIE INTERPERSONAL FORGIVENESS: REPLICATION AND EXTENSION OF THE MODEL OF MOTIVATED INTERPERSONAL FORGIVENESS	FRONTIERS IN PSYCHOLOGY	2020	DONOVAN, LAN; PRIESTER, JR
000578931200010	MODELO CONDUCTUAL-CONTEXTUAL DE LAS RELACIONES INTIMAS: APLICABILIDAD EN PSICOTERAPIA	INTERNATIONAL JOURNAL OF PSYCHOLOGY AND PSYCHOLOGICAL THERAPY	2020	VILA, MM; FUNE, CO; KANTER, JW
000577347900018	WHAT IF YOUR PARTNER...? A SITUATED DECISION-MAKING APPROACH TO ROMANTIC COMPETENCE IN YOUNG ADULTHOOD	JOURNAL OF RESEARCH IN PERSONALITY	2020	ROBINSON, MD; PENZEL, IB; PERSICH, MR
000564686700016	MOTIVATIONAL EFFECTS ON EMPATHIC CHOICES	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY	2020	FERGUSON, AM; CAMERON, CD; INZLICHT, M
000550289400030	IT TAKES TWO TO TANGO: THE ROLE OF CUSTOMER EMPATHY AND RESOURCES TO IMPROVE THE EFFICACY OF FRONTLINE EMPLOYEE EMPATHY	JOURNAL OF RETAILING AND CONSUMER SERVICES	2020	NGO, LV; NGUYEN, TNQ; TRAN, NT; PARAMITA, W
000547703700001	THE EFFECTIVENESS OF A TOM TRAINING PROGRAM IN PROMOTING INTIMACY BETWEEN MARRIED COUPLES	AMERICAN JOURNAL OF FAMILY THERAPY		RAMEZANI, A; GHAMARI, M; JAFARI, A; AGHDAM, GF
000553628400003	ROLE OF INDIVIDUALS' VIRTUES IN RELATIONSHIP BETWEEN EMOTIONAL RESPONSES TO GOVERNMENT'S ACTIONS AND THEIR CONSEQUENCES	JOURNAL OF MANAGEMENT & GOVERNANCE	2020	GAUR, SS; ANAND, IM
000538451300002	RELATIONAL COMPETENCE IN EMERGING ADULT ADOPTEES: CONCEPTUALIZING COMPETENCE IN CLOSE RELATIONSHIPS	JOURNAL OF ADULT DEVELOPMENT	2020	CASHEN, KK; GROTEVANT, HD
000517868500001	SOCIOECONOMIC INEQUALITY UNDERMINES RELATIONSHIP QUALITY IN ROMANTIC RELATIONSHIPS	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	2020	CHO, MH; IMPETT, EA; CAMPOS, B; CHEN, SR; KELTNER, D
000513065700008	THE WELL-BEING PROFILE (WB-PRO): CREATING A THEORETICALLY BASED MULTIDIMENSIONAL MEASURE OF WELL-BEING TO ADVANCE THEORY, RESEARCH, POLICY, AND PRACTICE	PSYCHOLOGICAL ASSESSMENT	2020	MARSH, HW; HUPPERT, FA; DONALD, JN; HORWOOD, MS; SAHDRA, BK
000472702800001	THE YOUNG ADULT LOVE LIVES OF HAPPY TEENAGERS: THE ROLE OF ADOLESCENT AFFECT IN ADULT ROMANTIC RELATIONSHIP FUNCTIONING	JOURNAL OF RESEARCH IN PERSONALITY	2019	KANSKY, J; ALLEN, JP; DIENER, E
000465944900002	CONSUMER RESPONSES TO CORPORATE SOCIAL IRRESPONSIBILITY: THE ROLE OF MORAL EMOTIONS, EVALUATIONS, AND SOCIAL COGNITIONS	PSYCHOLOGY & MARKETING	2019	XIE, CY; BAGOZZI, RP
000465453200009	THE IMPACT OF TRAIT MINDFULNESS ON RELATIONAL OUTCOMES IN NOVICE YOGA PRACTITIONERS PARTICIPATING IN AN ACADEMIC YOGA COURSE	JOURNAL OF AMERICAN COLLEGE HEALTH	2019	KISHIDA, M; MOLENAAR, PCM; ELAVSKY, S
000455379700004	THROUGH YOUR PARTNER'S EYES: PERSPECTIVE TAKING TEMPERS OPTIMISM IN BEHAVIOR PREDICTIONS	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	2019	PEETZ, J; MACCOSHAM, A; MAY, K
000453624400044	THE IMPACT OF CORPORATE SOCIAL RESPONSIBILITY ON CONSUMER BRAND ADVOCACY: THE ROLE OF MORAL EMOTIONS, ATTITUDES, AND INDIVIDUAL DIFFERENCES	JOURNAL OF BUSINESS RESEARCH	2019	XIE, CY; BAGOZZI, RP; GRONHAUG, K
000473207300006	EXAMINING THE EFFECTIVENESS OF A ROMANTIC RELATIONSHIP SKILLS PSYCHOEDUCATION PROGRAM: A PILOT STUDY	STUDIES IN PSYCHOLOGY-PSIKOLOJI CALISMALARI DERGISI	2019	TOGAY, A; SAHIN, I; ATICI, M
000446856000039	CHANGING CHARACTERISTICS OF THE EMPATHIC COMMUNICATION NETWORK AFTER EMPATHY-ENHANCEMENT PROGRAM FOR MEDICAL STUDENTS	SCIENTIFIC REPORTS	2018	YUN, JY; KIM, KH; JOO, GJ; KIM, BN; ROH, MS; SHIN, MS
000428233700002	AGE-RELATED DIFFERENCES IN THE NEURAL CORRELATES OF EMPATHY FOR PLEASANT AND UNPLEASANT TOUCH IN A FEMALE SAMPLE	NEUROBIOLOGY OF AGING	2018	RIVA, F; TSCHERNEGG, M; CHIESA, PA; WAGNER, IC; KRONBICHLER, M; LAMM, C; SILANI, G
000422894900018	IT'S NOT WHAT I EXPECTED: THE ASSOCIATION BETWEEN DUAL-EARNER COUPLES' MET EXPECTATIONS FOR THE DIVISION OF PAID AND FAMILY LABOR AND WELL-BEING	JOURNAL OF VOCATIONAL BEHAVIOR	2018	SHOCKLEY, KM; ALLEN, TD
000423947000001	RELATIONSHIP SCIENCE INFORMED CLINICALLY RELEVANT BEHAVIORS IN FUNCTIONAL ANALYTIC PSYCHOTHERAPY: THE AWARENESS, COURAGE, AND LOVE MODEL	JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE	2017	MAITLAND, DWM; KANTER, JW; MANBECK, KE; KUCZYNSKI, AM
000410293400044	EMPATHY AND WELL-BEING CORRELATE WITH CENTRALITY IN DIFFERENT SOCIAL NETWORKS	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2017	MORELLI, SA; ONG, DC; MAKATI, R; JACKSON, MO; ZAKI, J
000408322000004	MUST HEADS ROLL? A CRITIQUE OF AND ALTERNATIVE APPROACHES TO SWIFT BLAME	ACADEMY OF MANAGEMENT PERSPECTIVES	2017	SKARLICKI, DP; KAY, AA; AQUINO, K; FUSHTEY, D
000403625400031	CAN INSECURELY ATTACHED DATING COUPLES GET COMPENSATED ON SOCIAL NETWORK SITES? -THE EFFECT OF SURVEILLANCE	COMPUTERS IN HUMAN BEHAVIOR	2017	WANG, KX; ZHOU, MJ; ZHANG, Z
000406873100005	WHEN EMPATHY MATTERS: THE ROLE OF SEX AND EMPATHY IN CLOSE FRIENDSHIPS	JOURNAL OF PERSONALITY	2017	CIARROCHI, J; PARKER, PD; SAHDRA, BK; KASHDAN, TB; KIURU, N; CONIGRAVE, J
000400968500003	THE SOCIAL CAUSES AND POLITICAL CONSEQUENCES OF GROUP EMPATHY	POLITICAL PSYCHOLOGY	2017	SIRIN, CV; VALENTINO, NA; VILLALOBOS, JD
000401473500041	EMPATHIC NONVERBAL BEHAVIOR INCREASES RATINGS OF BOTH WARMTH AND COMPETENCE IN A MEDICAL CONTEXT	PLOS ONE	2017	KRAFT-TODD, GT; REINERO, DA; KELLEY, JM; HEBERLEIN, AS; BAER, L; RIESS, H
