PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG				DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG			EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					JAN	1987	52	1					126	133		10.1037/0022-3514.52.1.126							WOS:A1987F642800015	3820067					
J	FUNDER, DC				FUNDER, DC			ERRORS AND MISTAKES - EVALUATING THE ACCURACY OF SOCIAL JUDGMENT	PSYCHOLOGICAL BULLETIN																Funder, David/V-8125-2019													0033-2909	1939-1455				JAN	1987	101	1					75	90		10.1037/0033-2909.101.1.75							WOS:A1987F724700004	3562704					
J	DAVIS, MH; FRANZOI, SL				DAVIS, MH; FRANZOI, SL			ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514	1939-1315				SEP	1986	51	3					595	608		10.1037/0022-3514.51.3.595							WOS:A1986D847600012	3761147					
J	SNODGRASS, SE				SNODGRASS, SE			WOMENS INTUITION - THE EFFECT OF SUBORDINATE ROLE ON INTERPERSONAL SENSITIVITY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1985	49	1					146	155		10.1037/0022-3514.49.1.146							WOS:A1985ALU5700013						
J	FRANZOI, SL; DAVIS, MH				FRANZOI, SL; DAVIS, MH			ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514	1939-1315					1985	48	3					768	780		10.1037/0022-3514.48.3.768							WOS:A1985ADU4900024	3989669					
J	FRANZOI, SL; DAVIS, MH; YOUNG, RD				FRANZOI, SL; DAVIS, MH; YOUNG, RD			THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1985	48	6					1584	1594		10.1037/0022-3514.48.6.1584							WOS:A1985AJS8300023	4020610					
J	MILL, J				MILL, J			HIGH AND LOW SELF-MONITORING INDIVIDUALS - THEIR DECODING SKILLS AND EMPATHIC EXPRESSION	JOURNAL OF PERSONALITY																													0022-3506						1984	52	4					372	388		10.1111/j.1467-6494.1984.tb00358.x							WOS:A1984TZ46000006						
J	FRANZOI, SL; BREWER, LC				FRANZOI, SL; BREWER, LC			THE EXPERIENCE OF SELF-AWARENESS AND ITS RELATION TO LEVEL OF SELF-CONSCIOUSNESS - AN EXPERIENTIAL SAMPLING STUDY	JOURNAL OF RESEARCH IN PERSONALITY																													0092-6566						1984	18	4					522	540		10.1016/0092-6566(84)90010-2							WOS:A1984TX69900010						
J	DAVIS, MH				DAVIS, MH			THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH	JOURNAL OF PERSONALITY																													0022-3506						1983	51	2					167	184		10.1111/j.1467-6494.1983.tb00860.x							WOS:A1983QX75900003						
J	DAVIS, MH				DAVIS, MH			MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1983	44	1					113	126		10.1037/0022-3514.44.1.113							WOS:A1983PY32000010						
J	MILLER, LC; BERG, JH; ARCHER, RL				MILLER, LC; BERG, JH; ARCHER, RL			OPENERS - INDIVIDUALS WHO ELICIT INTIMATE SELF-DISCLOSURE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																Miller, Lynn C/E-8101-2010	Miller, Lynn C/0000-0003-3379-3564												0022-3514						1983	44	6					1234	1244		10.1037/0022-3514.44.6.1234							WOS:A1983QT40100013						
J	FRANZOI, SL				FRANZOI, SL			SELF-CONCEPT DIFFERENCES AS A FUNCTION OF PRIVATE SELF-CONSCIOUSNESS AND SOCIAL ANXIETY	JOURNAL OF RESEARCH IN PERSONALITY																													0092-6566						1983	17	3					275	287		10.1016/0092-6566(83)90019-3							WOS:A1983RF24200001						
J	DAVIS, MH				DAVIS, MH			EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672						1983	9	2					223	229		10.1177/0146167283092005							WOS:A1983RR96300005						
J	HARACKIEWICZ, JM; DEPAULO, BM				HARACKIEWICZ, JM; DEPAULO, BM			ACCURACY OF PERSON PERCEPTION - A COMPONENT ANALYSIS ACCORDING TO CRONBACH	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672	1552-7433					1982	8	2					247	256		10.1177/0146167282082011							WOS:A1982NX19600011						
